x	y	z	Velocidad				x'	y'
20.063186	-0.861745	-0.660953	0.06407	1.250495	0.546813		-7.8838601	-7.6830681
20.064467	-0.836735	-0.650016	0.062117	1.250577	0.546876		-7.85929845	-7.67257945
20.065709	-0.811724	-0.639079	0.060163	1.250656	0.546938		-7.83472215	-7.66207715
20.066913	-0.786711	-0.62814	0.05821	1.250732	0.546999		-7.81013055	-7.65155955
20.068077	-0.761696	-0.6172	0.056257	1.250806	0.547059		-7.78552295	-7.64102695
20.069202	-0.73668	-0.606259	0.054303	1.250878	0.547119		-7.7609007	-7.6304797
20.070288	-0.711662	-0.595317	0.052349	1.250947	0.547176		-7.7362628	-7.6199178
20.071335	-0.686644	-0.584373	0.050395	1.251014	0.547233		-7.71161125	-7.60934025
20.072343	-0.661623	-0.573428	0.048441	1.251079	0.547289		-7.68694305	-7.59874805
20.073312	-0.636602	-0.562483	0.046487	1.251141	0.547344		-7.6622612	-7.5881422
20.074241	-0.611579	-0.551536	0.044532	1.2512	0.547398		-7.63756335	-7.57752035
20.075132	-0.586555	-0.540588	0.042578	1.251257	0.54745		-7.6128512	-7.5668842
20.075984	-0.56153	-0.529639	0.040623	1.251312	0.547502		-7.5881244	-7.5562334
20.076796	-0.536503	-0.518689	0.038669	1.251364	0.547552		-7.5633816	-7.5455676
20.077569	-0.511476	-0.507738	0.036714	1.251414	0.547602		-7.53862515	-7.53488715
20.078304	-0.486448	-0.496786	0.034759	1.251461	0.54765		-7.5138544	-7.5241924
20.078999	-0.461419	-0.485833	0.032804	1.251506	0.547697		-7.48906865	-7.51348265
20.079655	-0.436389	-0.474879	0.030848	1.251549	0.547744		-7.46426825	-7.50275825
20.080272	-0.411358	-0.463924	0.028893	1.251589	0.547789		-7.4394532	-7.4920192
20.08085	-0.386326	-0.452968	0.026938	1.251626	0.547833		-7.4146235	-7.4812655
20.081389	-0.361293	-0.442011	0.024982	1.251662	0.547876		-7.38977915	-7.47049715
20.081888	-0.33626	-0.431054	0.023026	1.251694	0.547918		-7.3649208	-7.4597148
20.082349	-0.311226	-0.420095	0.021071	1.251725	0.547959		-7.34004815	-7.44891715
20.08277	-0.286192	-0.409136	0.019115	1.251752	0.547999		-7.3151615	-7.4381055
20.083152	-0.261157	-0.398176	0.017159	1.251778	0.548038		-7.2902602	-7.4272792
20.083496	-0.236121	-0.387216	0.015203	1.251801	0.548075		-7.2653446	-7.4164396
20.0838	-0.211085	-0.376254	0.013247	1.251821	0.548112		-7.240415	-7.405584
20.084065	-0.186049	-0.365292	0.011291	1.25184	0.548147		-7.21547175	-7.39471475
20.08429	-0.161012	-0.354329	0.009335	1.251855	0.548182		-7.1905135	-7.3838305
20.084477	-0.135975	-0.343365	0.007378	1.251869	0.548215		-7.16554195	-7.37293195
20.084625	-0.110937	-0.332401	0.005422	1.251879	0.548248		-7.14055575	-7.36201975
20.084733	-0.0859	-0.321436	0.003465	1.251888	0.548279		-7.11555655	-7.35109255
20.084802	-0.060862	-0.31047	0.001509	1.251894	0.548309		-7.0905427	-7.3401507
20.084833	-0.035824	-0.299504	-0.000448	1.251897	0.548339		-7.06551555	-7.32919555
20.084824	-0.010786	-0.288537	-0.002404	1.251898	0.548367		-7.0404744	-7.3182254
20.084776	0.014252	-0.27757	-0.004361	1.251897	0.548394		-7.0154196	-7.3072416
20.084688	0.03929	-0.266602	-0.006318	1.251893	0.54842		-6.9903508	-7.2962428
20.084562	0.064328	-0.255634	-0.008274	1.251887	0.548445		-6.9652687	-7.2852307
20.084397	0.089365	-0.244665	-0.010231	1.251878	0.548468		-6.94017395	-7.27420395
