x	y	z	Velocidad				x'	y'
-1.364195	41.722323	13.434685	-0.832323	-0.282014	0.162951		42.19979125	13.91215325
-2.030054	41.496712	13.565045	-0.831563	-0.297554	0.157871		42.2072309	14.2755639
-2.695304	41.258668	13.691342	-0.830543	-0.313163	0.152691		42.2020244	14.6346984
-3.359739	41.008137	13.813494	-0.829259	-0.328839	0.147411		42.18404565	14.98940265
-4.023146	40.745066	13.931423	-0.827705	-0.344578	0.142029		42.1531671	15.3395241
-4.685311	40.469403	14.045046	-0.825876	-0.360378	0.136546		42.10926185	15.68490485
-5.346011	40.181101	14.154283	-0.823766	-0.376237	0.130959		42.05220485	16.02538685
-6.005024	39.880111	14.25905	-0.82137	-0.39215	0.12527		41.9818694	16.3608084
-6.66212	39.566391	14.359266	-0.818682	-0.408115	0.119476		41.898133	16.691008
-7.317065	39.239899	14.454846	-0.815696	-0.424128	0.113577		41.80087175	17.01581875
-7.969622	38.900596	14.545708	-0.812406	-0.440186	0.107572		41.6899637	17.3350757
-8.619546	38.548448	14.631766	-0.808806	-0.456284	0.101462		41.5652891	17.6486071
-9.266591	38.18342	14.712935	-0.804891	-0.472419	0.095245		41.42672685	17.95624185
-9.910504	37.805485	14.789131	-0.800653	-0.488586	0.088921		41.2741614	18.2578074
-10.551026	37.414617	14.860268	-0.796086	-0.504779	0.082489		41.1074761	18.5531271
-11.187895	37.010793	14.926259	-0.791184	-0.520996	0.075949		40.92655625	18.84202225
-11.820842	36.593996	14.987018	-0.78594	-0.53723	0.0693		40.7312907	19.1243127
-12.449594	36.164213	15.042459	-0.780347	-0.553475	0.062543		40.5215709	19.3998169
-13.073872	35.721433	15.092493	-0.7744	-0.569726	0.055677		40.2972882	19.6683482
-13.693391	35.265652	15.137035	-0.768089	-0.585977	0.048702		40.05833885	19.92972185
-14.307863	34.79687	15.175996	-0.76141	-0.602222	0.041617		39.80462205	20.18374805
-14.916991	34.315092	15.209289	-0.754354	-0.618453	0.034423		39.53603885	20.43023585
-15.520474	33.82033	15.236828	-0.746915	-0.634664	0.027119		39.2524959	20.6689939
-16.118006	33.312599	15.258523	-0.739085	-0.650846	0.019707		38.9539011	20.8998251
-16.709274	32.791922	15.274289	-0.730857	-0.666993	0.012186		38.6401679	21.1225349
-17.29396	32.258327	15.284038	-0.722225	-0.683096	0.004557		38.311213	21.336924
-17.871739	31.711851	15.287683	-0.71318	-0.699145	-0.00318		37.96695965	21.54279165
-18.442283	31.152535	15.285139	-0.703715	-0.715132	-0.011025		37.60733405	21.73993805
-19.005255	30.580429	15.276319	-0.693824	-0.731048	-0.018975		37.23226825	21.92815825
-19.560315	29.995591	15.261139	-0.683499	-0.746882	-0.027031		36.84170125	22.10724925
-20.107113	29.398085	15.239514	-0.672732	-0.762623	-0.035191		36.43557455	22.27700355
-20.645299	28.787986	15.211361	-0.661517	-0.778261	-0.043454		36.01384065	22.43721565
-21.174513	28.165377	15.176597	-0.649847	-0.793784	-0.051819		35.57645655	22.58767655
-21.694391	27.53035	15.135142	-0.637715	-0.809181	-0.060283		35.12338685	22.72817885
-22.204562	26.883005	15.086916	-0.625113	-0.824437	-0.068845		34.6546017	22.8585127
-22.704653	26.223456	15.03184	-0.612036	-0.839541	-0.077503		34.17008455	22.97846855
-23.194282	25.551823	14.969837	-0.598478	-0.854478	-0.086254		33.6698217	23.0878357
-23.673064	24.868241	14.900834	-0.584431	-0.869234	-0.095096		33.1538134	23.1864064
-24.140609	24.172854	14.824758	-0.569889	-0.883794	-0.104025		32.62206715	23.27397115
-24.59652	23.465819	14.741538	-0.554849	-0.898144	-0.11304		32.074601	23.35032
-25.040399	22.747304	14.651106	-0.539303	-0.912266	-0.122135		31.51144365	23.41524565
-25.471842	22.017491	14.553398	-0.523247	-0.926144	-0.131309		30.9326357	23.4685427
-25.89044	21.276576	14.44835	-0.506678	-0.939761	-0.140556		30.33823	23.510004
-26.295782	20.524767	14.335906	-0.489589	-0.953099	-0.149872		29.7282907	23.5394297
-26.687453	19.762288	14.216008	-0.471979	-0.966139	-0.159252		29.10289655	23.55661655
-27.065037	18.989376	14.088606	-0.453845	-0.978863	-0.168692		28.46213895	23.56136895
-27.428112	18.206286	13.953652	-0.435183	-0.99125	-0.178186		27.8061252	23.5534912
-27.776259	17.413286	13.811103	-0.415992	-1.003281	-0.187728		27.13497665	23.53279365
-28.109053	16.610661	13.660921	-0.396272	-1.014934	-0.197312		26.44882955	23.49908955
-28.42607	15.798713	13.503071	-0.376023	-1.026189	-0.206931		25.7478375	23.4521955
-28.726889	14.977762	13.337526	-0.355244	-1.037023	-0.216579		25.03217315	23.39193715
-29.011084	14.148144	13.164263	-0.333938	-1.047413	-0.226247		24.3020234	23.3181424
-29.278234	13.310214	12.983265	-0.312107	-1.057338	-0.235927		23.5575959	23.2306469
-29.527919	12.464344	12.794523	-0.289755	-1.066773	-0.245613		22.79911565	23.12929465
-29.759723	11.610925	12.598033	-0.266887	-1.075695	-0.255293		22.02682805	23.01393605
-29.973233	10.750369	12.393798	-0.243508	-1.08408	-0.26496		21.24100055	22.88442955
-30.168039	9.883105	12.18183	-0.219626	-1.091904	-0.274604		20.44191865	22.74064365
-30.34374	9.009582	11.962147	-0.195249	-1.099142	-0.284214		19.629891	22.582456
-30.499939	8.130268	11.734776	-0.170387	-1.105769	-0.293779		18.80524665	22.40975465
-30.636248	7.245653	11.499752	-0.145051	-1.111761	-0.30329		17.9683398	22.2224388
-30.752289	6.356244	11.257121	-0.119254	-1.117093	-0.312733		17.11954515	22.02042215
-30.847692	5.462569	11.006935	-0.09301	-1.121741	-0.322097		16.2592612	21.8036272
-30.9221	4.565176	10.749257	-0.066335	-1.125679	-0.33137		15.387911	21.571992
-30.975168	3.664633	10.484161	-0.039246	-1.128884	-0.340539		14.5059418	21.3254698
-31.006565	2.761526	10.21173	-0.011762	-1.131332	-0.34959		13.61382375	21.06402775
-31.015974	1.856461	9.932057	0.016096	-1.132999	-0.358511		12.7120519	20.7876479
-31.003098	0.950061	9.645249	0.044305	-1.133864	-0.367287		11.8011453	20.4963333
-30.967654	0.042971	9.351419	0.072842	-1.133903	-0.375904		10.8816499	20.1900979
-30.90938	-0.864152	9.050695	0.10168	-1.133097	-0.384349		9.954131	19.868978
-30.828037	-1.770629	8.743216	0.130791	-1.131425	-0.392605		9.01918395	19.53302895
-30.723404	-2.675769	8.429132	0.160147	-1.128868	-0.400659		8.0774224	19.1823234
-30.595286	-3.578864	8.108605	0.189716	-1.125409	-0.408496		7.1294861	18.8169551
-30.443513	-4.479191	7.781809	0.219466	-1.121032	-0.4161		6.17603855	18.43703855
-30.26794	-5.376017	7.448929	0.249362	-1.115722	-0.423458		5.217762	18.042708
-30.06845	-6.268595	7.110163	0.279368	-1.109467	-0.430553		4.2553625	17.6341205
-29.844955	-7.156168	6.76572	0.309448	-1.102254	-0.437372		3.28956625	17.21145425
-29.597397	-8.037971	6.415823	0.339561	-1.094076	-0.4439		2.32111795	16.77491195
-29.325748	-8.913232	6.060703	0.369669	-1.084925	-0.450122		1.3507798	16.3247148
-29.030013	-9.781172	5.700606	0.39973	-1.074797	-0.456025		0.37933255	15.86111055
-28.710229	-10.64101	5.335786	0.429702	-1.063688	-0.461595		-0.59242985	15.38436615
-28.366468	-11.49196	4.96651	0.459542	-1.051599	-0.46682		-1.5636962	14.8947738
-27.998834	-12.333239	4.593054	0.489207	-1.038532	-0.471686		-2.5336471	14.3926459
-27.607468	-13.164065	4.215705	0.518652	-1.024491	-0.476182		-3.5014512	13.8783188
-27.192546	-13.983658	3.834759	0.547833	-1.009485	-0.480298		-4.4662669	13.3521501
-26.75428	-14.791246	3.450521	0.576705	-0.993523	-0.484021		-5.427248	12.814519
-26.292916	-15.586065	3.063304	0.605223	-0.976618	-0.487344		-6.3835444	12.2658246
-25.808737	-16.367359	2.673429	0.633343	-0.958785	-0.490257		-7.33430105	11.70648695
-25.302062	-17.134387	2.281224	0.661021	-0.940042	-0.492752		-8.2786653	11.1369457
-24.773245	-17.886421	1.887022	0.688213	-0.920409	-0.494823		-9.21578525	10.55765775
-24.222675	-18.622748	1.491163	0.714877	-0.899909	-0.496465		-10.14481175	9.96909925
-23.650773	-19.342675	1.093991	0.740971	-0.878568	-0.497672		-11.06490445	9.37176155
-23.057996	-20.04553	0.695854	0.766455	-0.856414	-0.498441		-11.9752314	8.7661526
-22.444831	-20.730661	0.297101	0.79129	-0.833476	-0.49877		-12.87497015	8.15279185
-21.811799	-21.397441	-0.101914	0.815438	-0.809786	-0.498657		-13.76331135	7.53221565
-21.159448	-22.04527	-0.50084	0.838865	-0.785379	-0.498102		-14.6394632	6.9049668
-20.488357	-22.673574	-0.899322	0.861535	-0.760291	-0.497107		-15.50264905	6.27160295
-19.799129	-23.281806	-1.297007	0.883418	-0.734559	-0.495674		-16.35211085	5.63268815
-19.092394	-23.869453	-1.693546	0.904484	-0.708222	-0.493805		-17.1871151	4.9887919
-18.368807	-24.43603	-2.08859	0.924706	-0.68132	-0.491506		-18.00694755	4.34049245
-17.629042	-24.981086	-2.481795	0.944059	-0.653896	-0.488781		-18.8109213	3.6883697
-16.873794	-25.504203	-2.87282	0.962522	-0.625991	-0.485638		-19.5983751	3.0330079
-16.103777	-26.004996	-3.26133	0.980073	-0.597649	-0.482084		-20.36867405	2.37499195
